,title,address,price,building_area,building_use,latitude,longitude,btype
628,文大學生清境大套房,台北市士林區永公路,6000,8.0,公寓/獨立套房,25.136710600000004,121.57065659999999,公寓
630,*捷運後山埤站1號出口對面*三角窗,台北市信義區中坡北路,250000,82.0,電梯大樓/店面,25.043585800000002,121.5801598,電梯大樓
643,善導寺捷運~喜來登飯店~純電梯辦公大樓,台北市中正區青島東路,43990,54.0,電梯大樓/辦公,25.0430993,121.5211593,電梯大樓
644,奇岩站3+1房/新成屋/含管理費,台北市北投區磺港路,45000,59.86,電梯大樓/整層住家,25.130447,121.5041104,電梯大樓
652,商三透天整棟出租,台北市松山區寶清路,150000,107.0,公寓/住辦,25.050573999999997,121.568799,公寓
656,雅房7500!!包水.第四台.網路,台北市中正區新生北路一段,7500,6.0,電梯大樓/雅房,25.0453451,121.53378729999999,電梯大樓
658,政大校園對面住宅區~~乾淨又有質感的套房,台北市文山區秀明路二段,8300,4.5,公寓/分租套房,24.991526,121.575796,公寓
669,忠孝復興站3分鐘一級店辦人潮錢潮把握機會,台北市大安區複興南路一段,130000,79.59,電梯大樓/辦公,25.0433357,121.5440383,電梯大樓
670,東吳大學推薦雅房(大雅房),台北市士林區故宮路,7000,8.0,公寓/雅房,25.097907,121.547467,公寓
677,珠海路三面採光華廈,台北市北投區珠海路,26000,39.15,電梯大樓/整層住家,25.141878,121.50603400000001,電梯大樓
681,石牌捷運五分鐘含水電第四台天然瓦斯,台北市北投區石牌路一段,5500,4.0,公寓/雅房,25.112822,121.51008,公寓
682,信義松德面寬深方正1樓店面商辦住辦,台北市信義區松德路,68000,60.0,,25.0278839,121.57613870000002,nan
687,裝潢百萬3房兩廳,台北市萬華區中華路二段,21000,24.0,公寓/整層住家,25.030412,121.50246899999999,公寓
689,信義永春捷運站3分鐘獨立辦公室工作室,台北市信義區松德路,9000,3.0,電梯大樓/辦公,25.0390405,121.57673359999998,電梯大樓
698,溫馨日式套房938094651,台北市萬華區武昌街二段,9500,8.5,電梯大樓/獨立套房,25.045578,121.50283049999999,電梯大樓
710,雅房出租(包含水費天然氣網路),台北市文山區興隆路四段,5000,3.5,公寓/雅房,24.985778,121.560179,公寓
712,優質套房近陽明大學國北護榮總振興,台北市北投區吉利街,9000,8.0,公寓/獨立套房,25.118919,121.507549,公寓
718,近松高路~忠孝東路~格局方正優質美辦,台北市信義區松仁路,1180000,296.4,電梯大樓/辦公,25.037542000000002,121.5693787,電梯大樓
720,﻿﻿永康街79號5F雅房租金含水電網路﻿,台北市大安區永康街,7300,8.0,透天厝/雅房,25.028781100000003,121.53059009999998,透天厝
725,近仁愛路。大安森林公園。通風明亮秒殺雅房,台北市大安區新生南路一段,5500,3.0,公寓/雅房,25.0361152,121.5337825,公寓
726,個人行動辦公室獨立門禁/空調,台北市中山區民權東路三段,7000,4.0,電梯大樓/辦公,25.0625916,121.5422287,電梯大樓
733,美麗華商圈最佳休閒雅房每天在鳥語中甦醒,台北市內湖區北安路,6500,7.0,公寓/雅房,25.0856345,121.55890590000001,公寓
735,秀明路公寓2F整層出租(限學生),台北市文山區秀明路二段,24000,36.0,公寓/整層住家,24.9922289,121.574871,公寓
742,小巨蛋捷運青木淳輕豪宅時尚漂亮房,台北市松山區南京東路四段,32000,16.9,電梯大樓/整層住家,25.0518589,121.5504608,電梯大樓
743,【㊣信義路六段上】鄰松山家商,台北市信義區信義路六段,47000,25.0,,25.0362609,121.57793799999999,nan
745,優質套房，近捷運站、生活機能優,台北市士林區通河東街一段,12000,9.0,公寓/獨立套房,25.082038,121.51764299999999,公寓
750,捷運忠孝復興站,台北市大安區忠孝東路四段,17000,12.0,電梯大樓/獨立套房,25.0427952,121.5480173,電梯大樓
752,近松山車站、五分埔辦公工作室倉儲優質店面,台北市南港區中坡北路,41000,15.0,公寓/店面,25.0476704,121.58051299999998,公寓
759,"@南京西純辦,捷運1分鐘!@",台北市大同區南京西路,147262,101.56,電梯大樓/辦公,25.0536734,121.52051759999999,電梯大樓
766,捷運中山站旁靜幽~限女性!,台北市大同區赤峰街,7000,5.0,公寓/雅房,25.054924,121.521045,公寓
773,四平街辦公室出租,台北市中山區四平街,28000,28.0,公寓/整層住家,25.053594,121.530685,公寓
775,雙面採光、現有隔間、辦公設備立即進駐,台北市中正區衡陽路,117000,60.61,電梯大樓/辦公,25.0423946,121.51216129999999,電梯大樓
779,"新北投,景觀優美裝潢空氣佳,近捷運停車便",台北市北投區泉源路,20000,23.0,公寓/整層住家,25.1403389,121.5057831,公寓
784,中山區公司工商登記每月只要2500元,台北市中山區農安街,2500,2.0,公寓/辦公,25.0650081,121.526215,公寓
785,台北市公司行號金店面(或工作室)出租,台北市松山區新中街,7900,2.572,公寓/店面,25.057699,121.560468,公寓
792,獨立進出口，可商業登記地下室，辦公倉庫皆,台北市中山區新生北路,45000,79.0,電梯大樓/辦公,25.0525587,121.52793700000001,電梯大樓
793,士林文化銘傳套房出租,台北市士林區文林路,11000,6.0,公寓/獨立套房,25.08864800000001,121.527004,公寓
795,時代廣場-挑高高樓-50吋電視-家電.俱,台北市信義區信義路五段,25000,15.17,電梯大樓/獨立套房,25.032549,121.5731908,電梯大樓
796,南京東路站~設計師裝潢時尚1+1房,台北市松山區南京東路三段,32000,20.79,電梯大樓/整層住家,25.0516578,121.54675379999999,電梯大樓
798,獨立庭院優雅寧靜通風採光佳近古亭捷運,台北市中正區廈門街,13000,13.0,公寓/整層住家,25.0236206,121.52039340000002,公寓
826,東方文華酒店旁黃金店面一樓,台北市松山區復興北路,118000,110.0,電梯大樓/店面,25.062479999999997,121.54577009999998,電梯大樓
835,精緻商辦公室出租忠孝敦化商圈,台北市大安區敦化南路一段,22000,5.0,電梯大樓/辦公,25.043466100000003,121.54926940000001,電梯大樓
836,台大公館捷運4號出口(僅剩一間),台北市中正區羅斯福路四段,9500,5.0,公寓/分租套房,25.01411610000001,121.5325591,公寓
847,林森北路{精品套房}新生北路,台北市中山區林森北路,13000,8.0,公寓/獨立套房,25.0507559,121.52892820000001,公寓
848,南港站前透天廠辦/另有260坪,台北市南港區南港路二段,132000,143.0,透天厝/辦公,25.0542337,121.5979624,透天厝
852,金門街璞園機械式平面車庫車位含管理費,台北市中正區金門街,5000,1.0,,25.0224576,121.52315320000001,nan
871,學生雅房出租,台北市文山區木柵路二段,4500,3.0,公寓/雅房,24.98871,121.562605,公寓
873,"[店面]天母新光三越正後方,方正格局",台北市士林區天母東路,35000,20.0,,25.117451899999995,121.533248,nan
874,精緻舒適套房出租,台北市大同區承德路,10000,7.0,公寓/分租套房,25.063203899999998,121.51721529999999,公寓
877,公園住宅環境優內科三總國中小五分鐘到,台北市內湖區民權東路六段,26000,36.0,公寓/整層住家,25.068146,121.58678400000001,公寓
879,【長寬高文創】開放式個人辦公室,台北市中山區龍江路,5000,5.0,透天厝/辦公,25.0512976,121.54043600000001,透天厝
880,中山北路二段純辦公大樓地下室(可分隔),台北市中山區中山北路二段,492075,328.05,電梯大樓/辦公,25.060451999999998,121.523625,電梯大樓
